EREIGNISJAHR_N;Bezirk;1_F;1_M;2_F;2_M;3_F;3_M;4_F;4_M;5_F;5_M;6_F;6_M;7_F;7_M;8_F;8_M;9_F;9_M;10_F;10_M;11_F;11_M;12_F;12_M;13_F;13_M;14_F;14_M;15_F;15_M;16_F;16_M;17_F;17_M;18_F;18_M;19_F;19_M;20_F;20_M
2010;2011;1;1;NA;NA;NA;NA;NA;NA;NA;1;NA;1;1;1;NA;3;1;2;4;6;6;4;3;10;8;14;6;22;13;17;20;27;44;39;41;40;37;20;21;8
2010;2012;2;1;NA;NA;NA;NA;NA;NA;2;1;NA;2;1;2;3;2;2;2;NA;5;5;8;6;9;12;12;11;24;13;18;22;31;35;35;73;35;33;20;16;5
2010;2013;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;2;NA;NA;1;3;NA;1;1;2;5;3;4;4;8;6;7;8;15;14;17;21;24;32;34;44;29;35;11;16;7
2010;2014;2;NA;NA;NA;1;NA;NA;1;1;NA;NA;NA;1;1;2;NA;1;1;2;7;5;5;7;4;3;11;8;19;7;14;12;18;29;21;26;28;24;14;17;1
2010;2015;2;1;NA;NA;NA;NA;NA;2;NA;1;1;1;1;2;1;1;2;3;4;7;5;11;6;8;5;10;7;12;14;10;12;23;29;44;42;26;45;19;24;5
2010;2101;2;1;NA;NA;NA;1;NA;NA;NA;NA;2;1;NA;2;1;2;4;4;2;2;3;3;4;5;8;13;7;25;9;14;16;29;27;26;45;35;42;17;24;10
2010;2102;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;1;NA;NA;NA;2;NA;1;1;3;1;4;4;2;6;3;2;3;9;3;9;2;4;1
2010;2103;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;1;NA;1;NA;1;1;3;2;2;NA;2;NA;3;5;10;5;7;2;2;9;14;18;10;11;2;7;1
2010;2104;1;2;NA;NA;NA;NA;2;NA;NA;2;1;1;NA;1;1;2;2;1;3;4;5;9;9;9;8;16;16;25;23;43;27;43;50;53;83;47;54;30;41;12
2010;2105;1;1;NA;NA;NA;1;NA;4;2;NA;NA;1;NA;NA;2;5;4;5;8;6;9;12;11;26;24;40;34;52;32;62;63;65;114;94;142;83;102;48;74;31
2010;2106;1;1;NA;NA;NA;NA;NA;1;NA;1;NA;1;NA;NA;1;4;1;6;2;NA;4;6;2;3;7;9;9;16;19;19;17;23;39;52;62;37;43;15;40;12
2010;2107;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;2;NA;3;NA;2;NA;4;3;3;4;5;5;7;5;7;10;4;2;4
2010;2108;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;1;1;NA;1;1;NA;2;1;5;4;1;4;3;15;3;2;7;13;3
2010;2221;2;1;NA;NA;NA;NA;1;1;NA;1;NA;NA;1;2;NA;2;1;1;2;5;5;8;6;5;2;10;7;14;8;15;12;20;31;18;44;39;38;16;10;4
2010;2222;1;2;NA;NA;NA;NA;NA;1;NA;NA;NA;1;1;NA;NA;3;NA;3;2;4;3;3;4;13;5;16;5;17;10;16;7;15;20;17;26;28;27;15;14;4
2010;2223;1;1;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;NA;1;NA;4;NA;5;NA;4;4;4;7;4;4;11;11;9;13;15;15;10;24;22;26;11;10;2
2010;2224;1;1;1;1;1;NA;NA;NA;NA;1;1;NA;4;3;NA;3;3;5;13;11;9;10;9;20;13;18;17;32;19;32;36;53;54;62;79;73;66;29;42;9
2010;2225;2;7;NA;1;NA;NA;NA;1;NA;3;2;4;4;2;3;3;5;11;6;11;10;11;17;19;25;30;22;35;44;48;75;69;108;100;152;98;107;59;79;28
2010;2226;1;1;NA;NA;NA;NA;NA;1;NA;1;NA;1;NA;1;NA;3;1;3;1;5;1;4;3;2;11;14;11;23;18;22;27;22;44;33;66;39;67;25;32;8
2010;2227;1;NA;NA;NA;NA;NA;NA;NA;NA;2;2;3;1;NA;1;1;3;6;2;2;3;6;6;15;8;12;16;30;8;33;21;37;40;36;51;44;58;25;43;9
2010;2228;3;1;NA;NA;NA;NA;2;1;NA;1;NA;1;NA;NA;2;NA;2;2;6;3;5;5;10;4;15;15;11;19;14;15;17;30;29;28;35;26;29;18;27;10
2010;2229;1;1;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1;1;3;NA;3;2;4;3;3;8;3;9;13;16;6;20;14;25;23;33;30;26;53;27;31;28;16;7
2010;2230;4;1;NA;NA;NA;NA;NA;1;NA;1;1;2;NA;NA;5;NA;NA;3;4;7;5;9;9;8;15;20;13;28;20;25;35;42;68;47;100;49;73;40;46;14
2010;2301;2;2;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;1;1;NA;1;NA;2;3;6;6;2;7;4;4;11;10;12;16;19;21;29;13;27;8;9;2
